Overall Average score,Overall Win percentage,Overall Average score in last 10 matches,Overall Win percentage in last 10 matches,Average score against a particular country,Win percentage against a particular country,Average score by this opposition against India,Average Score against a particular country in last 10 matches,Win percentage against a particular country in last 10 matches,Average score by this opposition against India in last 10 matches,Average score at this venue,Win percentage at this venue,Average score at this venue in last 10 matches,Win percentage at this venue in last 10 matches,Average score batting first/2nd,Win percentage batting 1st/2nd,Average score batting first/2nd in last 10 matches,Win percentage batting 1st/2nd in last 10 matches,Result
1.2882839086047644,0.0,1.1936936936936937,0.0,1.2864077669902914,0.0,1.2727272727272727,1.2155963302752293,0.0,1.209090909090909,0,0,0,0,1.2926829268292683,0.0,1.1990950226244343,0.0,0
1.059795819154108,0.0,0.98198198198198194,0.0,1.058252427184466,0.0,1.0478468899521531,1.0,0.0,0.99545454545454548,0.8260869565217391,0,0.81428571428571428,0.0,0,0,0,0,0
0.9204342894182468,0.0,0.85285285285285295,0.0,0,0,0,0,0,0,0,0,0,0,1.0634146341463415,0.0,0.98642533936651589,0.0,0
0.9698590179873603,0.0,0.89864864864864868,0.0,1.116504854368932,0.0,1.1148325358851674,1.0550458715596329,0.0,1.0590909090909091,0,0,0,0,1.0829268292682928,0.0,1.004524886877828,0.0,0
0.9256198347107438,0.0,0.85765765765765767,0.0,0.9320388349514563,0.0,0.9282296650717703,0.88073394495412849,0.0,0.88181818181818183,0,0,0,0,132.0,0.0,132.0,0.0,0
0.8977475287635716,0.0,0.83183183183183174,0.0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.92760180995475117,0.0,0
0.8875616362247379,0.14285714285714285,0.82239382239382242,0.14285714285714285,0.8252427184466019,1.0,0.7942583732057417,0.77981651376146788,1.0,0.75454545454545452,0,0,0,0,0.9658536585365853,0.2,0.89592760180995479,0.20000000000000001,0
0.824623237724842,0.125,0.76407657657657657,0.125,0.6043689320388349,0.5,0.5956937799043063,0.57110091743119262,0.5,0.56590909090909092,0,0,0,0,144.0,0.0,144.0,0.0,0
0.8318478906714202,0.1111111111111111,0.77077077077077083,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0.8691056910569105,0.16666666666666666,0.80618401206636492,0.16666666666666666,0
0.8410306271268838,0.1,0.77927927927927931,0.10000000000000001,0.8737864077669902,0.0,0.9952153110047847,0.82568807339449546,0.0,0.94545454545454544,1.2801932367149758,0,1.2619047619047619,0.0,0.8773519163763066,0.14285714285714285,0.81383322559793148,0.14285714285714285,0
0.8450081760728334,0.09090909090909091,0.74189189189189186,0.10000000000000001,0,0,0,0,0,0,1.1111111111111112,0,1.0952380952380953,0.0,157.0,0.0,157.0,0.0,0
0.8519688867282451,0.08333333333333333,0.75090090090090089,0.10000000000000001,0,0,0,0,0,0,0,0,0,0,0.8786585365853659,0.125,0.81504524886877827,0.125,0
0.8642159979058376,0.15384615384615385,0.78513513513513522,0.20000000000000001,0.8762135922330098,0.0,0.965311004784689,0.82798165137614677,0.0,0.9170454545454545,0,0,0,0,0.8937669376693768,0.2222222222222222,0.82905982905982911,0.22222222222222221,0
0.8587401902909925,0.21428571428571427,0.75450450450450446,0.29999999999999999,1.0097087378640777,1.0,0.6794258373205742,0.95412844036697253,1.0,0.6454545454545455,0,0,0,0,0.8834146341463415,0.3,0.81945701357466061,0.29999999999999999,0
0.8598282288121861,0.2,0.76621621621621616,0.29999999999999999,0.858252427184466,0.2,0.922488038277512,0.81100917431192665,0.20000000000000001,0.87636363636363646,0,0,0,0,0.8829268292682927,0.2727272727272727,0.78099547511312217,0.29999999999999999,0
0.8680724355858046,0.1875,0.7878378378378379,0.29999999999999999,0.8802588996763755,0.16666666666666666,0.9322169059011165,0.83180428134556583,0.16666666666666666,0.88560606060606062,0,0,0,0,0.8922764227642276,0.25,0.79592760180995481,0.29999999999999999,0
0.8827818925333868,0.23529411764705882,0.81486486486486487,0.29999999999999999,0.941747572815534,0.5,0.777511961722488,0.88990825688073394,0.5,0.73863636363636365,0.8695652173913043,0,0.8571428571428571,0.0,0.9099437148217636,0.3076923076923077,0.79592760180995481,0.40000000000000002,0
0.850753524550316,0.2222222222222222,0.80765765765765773,0.29999999999999999,0.914008321775312,0.2857142857142857,0.9521531100478469,0.86369593709043246,0.2857142857142857,0.90454545454545454,1.0048309178743962,1,0.99047619047619051,1.0,0.8668989547038328,0.2857142857142857,0.75475113122171955,0.40000000000000002,0
0.8346339840851521,0.21052631578947367,0.77567567567567564,0.29999999999999999,0.7297734627831716,0.3333333333333333,0.620414673046252,0.68960244648318048,0.33333333333333331,0.58939393939393936,0.7729468599033816,0,0.76190476190476186,0.5,0.8455284552845529,0.26666666666666666,0.72850678733031671,0.29999999999999999,0
0.839572192513369,0.2,0.77657657657657664,0.29999999999999999,0.7803398058252428,0.25,0.6961722488038278,0.73738532110091748,0.25,0.66136363636363638,0.5845410628019324,0,0.57857142857142863,0.0,165.5,0.0,165.5,0.0,0
0.8493645392041115,0.19047619047619047,0.79144144144144135,0.29999999999999999,0.8677184466019418,0.25,0.9007177033492823,0.81995412844036697,0.25,0.85568181818181821,0.9855072463768116,0,0.97142857142857142,0.0,175.4,0.0,175.40000000000001,0.0,0
0.8593715472665401,0.18181818181818182,0.8045045045045045,0.29999999999999999,0.8899676375404532,0.2222222222222222,0.9292929292929293,0.84097859327217128,0.22222222222222221,0.88282828282828285,0.7536231884057971,0,0.74285714285714288,0.0,182.83333333333334,0.0,182.83333333333334,0.0,0
0.851598993891484,0.17391304347826086,0.77387387387387396,0.20000000000000001,0.8689320388349514,0.2,0.9406698564593301,0.82110091743119262,0.20000000000000001,0.89363636363636356,0,0,0,0,176.71428571428572,0.0,176.71428571428572,0.0,0
0.847107438016529,0.16666666666666666,0.76981981981981984,0.10000000000000001,0.9190938511326862,0.0,1.2312599681020733,0.86850152905198785,0.0,1.1696969696969697,0,0,0,0,0.8512195121951219,0.25,0.77963800904977376,0.29999999999999999,0
0.8435585804569763,0.16,0.75900900900900903,0.10000000000000001,0.8786407766990292,0.0,1.1148325358851674,0.83027522935779818,0.0,1.0590909090909091,0,0,0,0,173.75,0.0,173.75,0.0,0
0.8417785423133017,0.19230769230769232,0.74099099099099097,0.20000000000000001,0.8621359223300971,0.2,1.045933014354067,0.81467889908256874,0.20000000000000001,0.99363636363636365,0,0,0,0,172.66666666666666,0.1111111111111111,172.66666666666666,0.1111111111111111,0
0.8521939537982319,0.2222222222222222,0.74144144144144142,0.20000000000000001,0.9053398058252428,0.3333333333333333,1.055023923444976,0.85550458715596334,0.33333333333333331,1.0022727272727272,1.077294685990338,0,1.0642857142857143,0.0,0.8459110473457675,0.23529411764705882,0.76425339366515843,0.29999999999999999,0
0.8552677269254809,0.21428571428571427,0.79999999999999993,0.20000000000000001,0.9098474341192787,0.2857142857142857,1.0369104579630897,0.85976408912188718,0.2857142857142857,0.98506493506493509,0.7294685990338164,0,0.72142857142857142,0.0,178.5,0.2,178.5,0.20000000000000001,0
0.8529327946624645,0.20689655172413793,0.82252252252252245,0.20000000000000001,0.9271844660194175,0.0,1.138755980861244,0.87614678899082565,0.0,1.0818181818181818,0,0,0,0,0.8512195121951219,0.2222222222222222,0.76923076923076927,0.29999999999999999,0
0.8680926916221035,0.23333333333333334,0.85720720720720722,0.29999999999999999,1.116504854368932,0.5,1.0263157894736843,1.0550458715596329,0.5,0.97499999999999998,0,0,0,0,177.0,0.18181818181818182,181.5,0.20000000000000001,0
0.8841563818275912,0.25806451612903225,0.88693693693693698,0.40000000000000002,1.1990291262135921,0.6666666666666666,1.1259968102073366,1.1330275229357798,0.66666666666666663,1.0696969696969698,0,0,0,0,185.66666666666666,0.25,194.0,0.29999999999999999,0
0.8920758385999028,0.28125,0.89324324324324333,0.5,0.6990291262135923,0.3333333333333333,0.7240829346092504,0.66055045871559637,0.33333333333333331,0.68787878787878787,0,0,0,0,189.3846153846154,0.3076923076923077,199.09999999999999,0.40000000000000002,0
0.8959797292320385,0.2727272727272727,0.92477477477477488,0.5,0.779126213592233,0.25,0.8110047846889952,0.73623853211009171,0.25,0.7704545454545455,0,0,0,0,190.85714285714286,0.2857142857142857,201.0,0.40000000000000002,0
0.9019417198089738,0.2647058823529412,0.95765765765765765,0.5,0.8427184466019417,0.2,0.9004784688995214,0.79633027522935773,0.20000000000000001,0.85545454545454536,0,0,0,0,193.2,0.26666666666666666,202.09999999999999,0.40000000000000002,0
0.9029793735676088,0.2857142857142857,0.97432432432432436,0.59999999999999998,0.8584142394822007,0.3333333333333333,0.9513556618819777,0.8111620795107034,0.33333333333333331,0.90378787878787881,0,0,0,0,0.8754813863928114,0.2631578947368421,0.79683257918552031,0.29999999999999999,0
0.9044995408631772,0.2777777777777778,0.98918918918918919,0.5,0.9223300970873787,0.0,0.9282296650717703,0.87155963302752293,0.0,0.88181818181818183,0,0,0,0,193.1875,0.3125,199.40000000000001,0.5,0
0.9014702597590298,0.2702702702702703,0.95855855855855865,0.40000000000000002,0.8567961165048543,0.0,0.9784688995215312,0.80963302752293576,0.0,0.92954545454545456,0,0,0,0,0.8797560975609756,0.25,0.81266968325791855,0.20000000000000001,0
0.9138244249417906,0.2894736842105263,0.99864864864864855,0.5,1.0275080906148868,0.3333333333333333,1.0590111642743223,0.97094801223241589,0.33333333333333331,1.0060606060606061,0,0,0,0,0.9033681765389083,0.2857142857142857,0.85882352941176476,0.29999999999999999,0
0.9110853495880235,0.28205128205128205,1.0004504504504503,0.5,0.9720873786407767,0.25,0.9940191387559809,0.91857798165137616,0.25,0.94431818181818183,1.0144927536231885,0,1.0023809523809524,0.0,0.8991130820399112,0.2727272727272727,0.84162895927601811,0.29999999999999999,0
0.9201507049100632,0.3,0.99729729729729732,0.5,0,0,0,0,0,0,0,0,0,0,191.41176470588235,0.29411764705882354,201.69999999999999,0.5,0
0.9163237961985844,0.3170731707317073,0.94144144144144148,0.5,0.8330097087378641,0.2,0.7885167464114833,0.78715596330275228,0.20000000000000001,0.74909090909090914,0,0,0,0,189.5,0.3333333333333333,202.09999999999999,0.59999999999999998,0
0.9127948700141214,0.30952380952380953,0.90720720720720727,0.40000000000000002,1.0320388349514562,0.4,1.0133971291866029,0.97522935779816511,0.40000000000000002,0.96272727272727276,0.748792270531401,0,0.73809523809523814,0.0,187.8421052631579,0.3157894736842105,201.5,0.5,0
0.9159873828447389,0.3023255813953488,0.90990990990990994,0.40000000000000002,0.7621359223300971,1.0,0.7416267942583732,0.72018348623853212,1.0,0.70454545454545459,0,0,0,0,0.9155885471898196,0.30434782608695654,0.85610859728506783,0.29999999999999999,0
